Song Title,Writer Name,Writer IPI,Publisher Name,Publisher IPI,MLC Publisher Number,Album,Track Number,ISRC,Duration,Artist Split,Publishing Split
Night Night And Einini,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES,1,USUM72301134,3:24,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Get The Bag,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES,2,USUM72301135,2:58,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Money Talk,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES,3,USUM72301136,3:15,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Street Code,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES,4,USUM72301137,3:42,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Boss Level,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES,5,USUM72301138,4:01,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Hustle Hard,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES,6,USUM72301139,3:33,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Big Dreams,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES II,1,USUM72301140,3:18,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
On The Rise,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES II,2,USUM72301141,2:45,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Top Floor,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES II,3,USUM72301142,3:56,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
No Limits,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES II,4,USUM72301143,3:27,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Grind Mode,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES II,5,USUM72301144,4:12,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Success Path,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES II,6,USUM72301145,3:39,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
King Mindset,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES III,1,USUM72301146,3:51,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Royal Treatment,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES III,2,USUM72301147,3:14,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Diamond Life,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES III,3,USUM72301148,2:59,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Luxury Flow,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES III,4,USUM72301149,3:43,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Champagne Dreams,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES III,5,USUM72301150,4:18,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Executive Suite,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES III,6,USUM72301151,3:26,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Legacy Builder,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES IV,1,USUM72301152,3:37,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Final Chapter,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES IV,2,USUM72301153,3:09,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Master Piece,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES IV,3,USUM72301154,4:05,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Crown Holder,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES IV,4,USUM72301155,3:48,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%
Forever Reign,Harvey Miller,00348202968,FASTASSMAN PUB INC.,00348585814,P0041X,FIVE DEUCES IV,5,USUM72301156,4:22,Harvey Miller 100%,Ruthless 75% / FAST ASS 25%